No,Country,Latitude,Longitude,Crop,Year,Kg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,41.1533,20.1683,Maize,1990,3661.3,1485,121,16.37
1,Albania,41.1533,20.1683,Potatoes,1990,6666.7,1485,121,16.37
2,Albania,41.1533,20.1683,"Rice, paddy",1990,2333.3,1485,121,16.37
3,Albania,41.1533,20.1683,Sorghum,1990,1250,1485,121,16.37
4,Albania,41.1533,20.1683,Soybeans,1990,700,1485,121,16.37
5,Albania,41.1533,20.1683,Wheat,1990,3019.7,1485,121,16.37
81,Albania,41.1533,20.1683,Soybeans,2009,1666.7,1485,1132.5,16.73
82,Albania,41.1533,20.1683,Wheat,2009,4022.9,1485,1132.5,16.73
32,Albania,41.1533,20.1683,Potatoes,1996,10613.8,1485,313.96,15.64
33,Albania,41.1533,20.1683,Soybeans,1996,1548,1485,313.96,15.64
34,Albania,41.1533,20.1683,Wheat,1996,2174.1,1485,313.96,15.64
15,Albania,41.1533,20.1683,Sorghum,1992,374.7,1485,121,16.06
91,Albania,41.1533,20.1683,Maize,2012,6729,1485,766.25,16.7
92,Albania,41.1533,20.1683,Potatoes,2012,25053.8,1485,766.25,16.7
35,Albania,41.1533,20.1683,Maize,1997,3186.2,1485,376.93,15.9
95,Albania,41.1533,20.1683,Maize,2013,6953.3,1485,982.32,17.41
96,Albania,41.1533,20.1683,Potatoes,2013,26011,1485,982.32,17.41
97,Albania,41.1533,20.1683,Soybeans,2013,1000,1485,982.32,17.41
98,Albania,41.1533,20.1683,Wheat,2013,4129.2,1485,982.32,17.41
77,Albania,41.1533,20.1683,Soybeans,2008,2000,1485,1069.54,16.71
78,Albania,41.1533,20.1683,Wheat,2008,4016.8,1485,1069.54,16.71
12,Albania,41.1533,20.1683,Maize,1992,2487.6,1485,121,16.06
13,Albania,41.1533,20.1683,Potatoes,1992,8292,1485,121,16.06
14,Albania,41.1533,20.1683,"Rice, paddy",1992,4000,1485,121,16.06
46,Albania,41.1533,20.1683,Wheat,1999,2495.4,1485,502.86,16.57
16,Albania,41.1533,20.1683,Soybeans,1992,450.7,1485,121,16.06
17,Albania,41.1533,20.1683,Wheat,1992,2438.8,1485,121,16.06
20,Albania,41.1533,20.1683,"Rice, paddy",1993,4178.6,1485,121,16.05
21,Albania,41.1533,20.1683,Soybeans,1993,799.8,1485,121,16.05
22,Albania,41.1533,20.1683,Wheat,1993,2997.6,1485,121,16.05
71,Albania,41.1533,20.1683,Maize,2007,4673.2,1485,1006.57,16.67
83,Albania,41.1533,20.1683,Maize,2010,6679,1485,1311.17,16.52
84,Albania,41.1533,20.1683,Potatoes,2010,23111.1,1485,1311.17,16.52
23,Albania,41.1533,20.1683,Maize,1994,2584.8,1485,201,16.96
24,Albania,41.1533,20.1683,Potatoes,1994,8140.4,1485,201,16.96
25,Albania,41.1533,20.1683,Soybeans,1994,792.7,1485,201,16.96
26,Albania,41.1533,20.1683,Wheat,1994,2474.5,1485,201,16.96
89,Albania,41.1533,20.1683,Soybeans,2011,1851.9,1485,1302.63,16.45
90,Albania,41.1533,20.1683,Wheat,2011,4230.1,1485,1302.63,16.45
40,Albania,41.1533,20.1683,Potatoes,1998,12721.2,1485,439.89,16.27
27,Albania,41.1533,20.1683,Maize,1995,3130,1485,251,15.67
67,Albania,41.1533,20.1683,Maize,2006,5011.1,1485,943.61,15.92
68,Albania,41.1533,20.1683,Potatoes,2006,17074.5,1485,943.61,15.92
69,Albania,41.1533,20.1683,Soybeans,2006,2000,1485,943.61,15.92
70,Albania,41.1533,20.1683,Wheat,2006,3078.7,1485,943.61,15.92
79,Albania,41.1533,20.1683,Maize,2009,5569.3,1485,1132.5,16.73
80,Albania,41.1533,20.1683,Potatoes,2009,21978,1485,1132.5,16.73
31,Albania,41.1533,20.1683,Maize,1996,3260.4,1485,313.96,15.64
87,Albania,41.1533,20.1683,Maize,2011,5986.9,1485,1302.63,16.45
88,Albania,41.1533,20.1683,Potatoes,2011,24221.1,1485,1302.63,16.45
11,Albania,41.1533,20.1683,Wheat,1991,2069.8,1485,121,15.36
64,Albania,41.1533,20.1683,Potatoes,2005,16706.1,1485,880.64,15.67
65,Albania,41.1533,20.1683,Soybeans,2005,1750,1485,880.64,15.67
41,Albania,41.1533,20.1683,Soybeans,1998,1432.7,1485,439.89,16.27
93,Albania,41.1533,20.1683,Soybeans,2012,1333.3,1485,766.25,16.7
36,Albania,41.1533,20.1683,Potatoes,1997,10987.4,1485,376.93,15.9
37,Albania,41.1533,20.1683,Soybeans,1997,1276.8,1485,376.93,15.9
38,Albania,41.1533,20.1683,Wheat,1997,2851.6,1485,376.93,15.9
54,Albania,41.1533,20.1683,Wheat,2001,2822,1485,628.79,16.59
76,Albania,41.1533,20.1683,Potatoes,2008,19387.8,1485,1069.54,16.71
8,Albania,41.1533,20.1683,"Rice, paddy",1991,2853.8,1485,121,15.36
9,Albania,41.1533,20.1683,Sorghum,1991,666.7,1485,121,15.36
10,Albania,41.1533,20.1683,Soybeans,1991,606.6,1485,121,15.36
63,Albania,41.1533,20.1683,Maize,2005,4544.2,1485,880.64,15.67
45,Albania,41.1533,20.1683,Soybeans,1999,1714.3,1485,502.86,16.57
43,Albania,41.1533,20.1683,Maize,1999,3745.5,1485,502.86,16.57
66,Albania,41.1533,20.1683,Wheat,2005,3158.2,1485,880.64,15.67
42,Albania,41.1533,20.1683,Wheat,1998,2803.7,1485,439.89,16.27
48,Albania,41.1533,20.1683,Potatoes,2000,14122.8,1485,565.82,16.67
49,Albania,41.1533,20.1683,Soybeans,2000,1500,1485,565.82,16.67
55,Albania,41.1533,20.1683,Maize,2002,3946,1485,691.75,16.47
6,Albania,41.1533,20.1683,Maize,1991,2906.8,1485,121,15.36
7,Albania,41.1533,20.1683,Potatoes,1991,7781.8,1485,121,15.36
57,Albania,41.1533,20.1683,Soybeans,2002,2000,1485,691.75,16.47
62,Albania,41.1533,20.1683,Wheat,2004,3113,1485,817.68,16.16
85,Albania,41.1533,20.1683,Soybeans,2010,1666.7,1485,1311.17,16.52
86,Albania,41.1533,20.1683,Wheat,2010,3990.5,1485,1311.17,16.52
44,Albania,41.1533,20.1683,Potatoes,1999,14201.8,1485,502.86,16.57
51,Albania,41.1533,20.1683,Maize,2001,3813.5,1485,628.79,16.59
50,Albania,41.1533,20.1683,Wheat,2000,3045.5,1485,565.82,16.67
47,Albania,41.1533,20.1683,Maize,2000,3881.1,1485,565.82,16.67
19,Albania,41.1533,20.1683,Potatoes,1993,9844.6,1485,121,16.05
56,Albania,41.1533,20.1683,Potatoes,2002,15386.8,1485,691.75,16.47
58,Albania,41.1533,20.1683,Wheat,2002,3161.7,1485,691.75,16.47
60,Albania,41.1533,20.1683,Potatoes,2004,14934.6,1485,817.68,16.16
75,Albania,41.1533,20.1683,Maize,2008,5000,1485,1069.54,16.71
39,Albania,41.1533,20.1683,Maize,1998,3341.6,1485,439.89,16.27
30,Albania,41.1533,20.1683,Wheat,1995,2870.3,1485,251,15.67
61,Albania,41.1533,20.1683,Soybeans,2004,1333.3,1485,817.68,16.16
74,Albania,41.1533,20.1683,Wheat,2007,3549.6,1485,1006.57,16.67
59,Albania,41.1533,20.1683,Maize,2004,4619.7,1485,817.68,16.16
52,Albania,41.1533,20.1683,Potatoes,2001,14881.8,1485,628.79,16.59
18,Albania,41.1533,20.1683,Maize,1993,2418.5,1485,121,16.05
72,Albania,41.1533,20.1683,Potatoes,2007,18890.2,1485,1006.57,16.67
53,Albania,41.1533,20.1683,Soybeans,2001,2000,1485,628.79,16.59
94,Albania,41.1533,20.1683,Wheat,2012,4109.6,1485,766.25,16.7
73,Albania,41.1533,20.1683,Soybeans,2007,2000,1485,1006.57,16.67
28,Albania,41.1533,20.1683,Potatoes,1995,11132.3,1485,251,15.67
29,Albania,41.1533,20.1683,Soybeans,1995,1179.1,1485,251,15.67
130,Algeria,28.0339,1.6596,"Rice, paddy",1996,1786.1,89,479.77,16.76
121,Algeria,28.0339,1.6596,"Rice, paddy",1994,2137.4,89,1255.02,17.88
192,Algeria,28.0339,1.6596,Wheat,2009,1597.5,89,3867.99,17.78
209,Algeria,28.0339,1.6596,Potatoes,2013,30321.8,89,17278.65,17.65
202,Algeria,28.0339,1.6596,Wheat,2011,1740.5,89,13861.76,17.79
120,Algeria,28.0339,1.6596,Potatoes,1994,9507.8,89,1255.02,17.88
174,Algeria,28.0339,1.6596,Potatoes,2006,22068.9,89,4110.72,18.13
106,Algeria,28.0339,1.6596,"Rice, paddy",1991,2678.6,89,2461.8,16.26
201,Algeria,28.0339,1.6596,Sorghum,2011,10000,89,13861.76,17.79
128,Algeria,28.0339,1.6596,Maize,1996,1715.4,89,479.77,16.76
105,Algeria,28.0339,1.6596,Potatoes,1991,9074.7,89,2461.8,16.26
191,Algeria,28.0339,1.6596,Sorghum,2009,9046.5,89,3867.99,17.78
197,Algeria,28.0339,1.6596,Wheat,2010,1483.8,89,1295.88,17.59
109,Algeria,28.0339,1.6596,Maize,1992,2282.8,89,1215.47,16.27
129,Algeria,28.0339,1.6596,Potatoes,1996,13462.9,89,479.77,16.76
102,Algeria,28.0339,1.6596,Sorghum,1990,1657.1,89,1828.92,17.48
103,Algeria,28.0339,1.6596,Wheat,1990,631.5,89,1828.92,17.48
208,Algeria,28.0339,1.6596,Maize,2013,3364.9,89,17278.65,17.65
101,Algeria,28.0339,1.6596,"Rice, paddy",1990,2800,89,1828.92,17.48
162,Algeria,28.0339,1.6596,Wheat,2002,1073.9,89,816.55,17.85
196,Algeria,28.0339,1.6596,Sorghum,2010,3028.6,89,1295.88,17.59
119,Algeria,28.0339,1.6596,Maize,1994,451.2,89,1255.02,17.88
190,Algeria,28.0339,1.6596,"Rice, paddy",2009,1459.4,89,3867.99,17.78
110,Algeria,28.0339,1.6596,Potatoes,1992,10791.7,89,1215.47,16.27
112,Algeria,28.0339,1.6596,Sorghum,1992,4000,89,1215.47,16.27
198,Algeria,28.0339,1.6596,Maize,2011,2337.4,89,13861.76,17.79
122,Algeria,28.0339,1.6596,Wheat,1994,799.9,89,1255.02,17.88
135,Algeria,28.0339,1.6596,"Rice, paddy",1997,1500,89,401.22,17.84
152,Algeria,28.0339,1.6596,Wheat,2000,919.4,89,603.67,17.9
188,Algeria,28.0339,1.6596,Maize,2009,3091.4,89,3867.99,17.78
149,Algeria,28.0339,1.6596,Potatoes,2000,16614.3,89,603.67,17.9
104,Algeria,28.0339,1.6596,Maize,1991,1923.1,89,2461.8,16.26
165,Algeria,28.0339,1.6596,"Rice, paddy",2004,1282.9,89,3747.86,17.38
167,Algeria,28.0339,1.6596,Wheat,2004,1358.2,89,3747.86,17.38
189,Algeria,28.0339,1.6596,Potatoes,2009,25076.4,89,3867.99,17.78
199,Algeria,28.0339,1.6596,Potatoes,2011,29280.6,89,13861.76,17.79
131,Algeria,28.0339,1.6596,Sorghum,1996,1475,89,479.77,16.76
132,Algeria,28.0339,1.6596,Wheat,1996,1309,89,479.77,16.76
182,Algeria,28.0339,1.6596,Wheat,2007,1274.2,89,5390.79,17.42
133,Algeria,28.0339,1.6596,Maize,1997,2141.7,89,401.22,17.84
150,Algeria,28.0339,1.6596,"Rice, paddy",2000,1305.2,89,603.67,17.9
155,Algeria,28.0339,1.6596,"Rice, paddy",2001,1231.4,89,710.11,18.13
100,Algeria,28.0339,1.6596,Potatoes,1990,7893.6,89,1828.92,17.48
176,Algeria,28.0339,1.6596,Sorghum,2006,5672.8,89,4110.72,18.13
177,Algeria,28.0339,1.6596,Wheat,2006,1506.8,89,4110.72,18.13
186,Algeria,28.0339,1.6596,Sorghum,2008,6178.6,89,11556.12,17.55
195,Algeria,28.0339,1.6596,"Rice, paddy",2010,1530.5,89,1295.88,17.59
166,Algeria,28.0339,1.6596,Sorghum,2004,4331.6,89,3747.86,17.38
145,Algeria,28.0339,1.6596,"Rice, paddy",1999,1394.2,89,654.45,17.97
200,Algeria,28.0339,1.6596,"Rice, paddy",2011,1608.1,89,13861.76,17.79
138,Algeria,28.0339,1.6596,Maize,1998,1722.2,89,322.84,17.14
173,Algeria,28.0339,1.6596,Maize,2006,6566.8,89,4110.72,18.13
114,Algeria,28.0339,1.6596,Maize,1993,1250,89,1021.89,17
134,Algeria,28.0339,1.6596,Potatoes,1997,14104.2,89,401.22,17.84
153,Algeria,28.0339,1.6596,Maize,2001,2717.5,89,710.11,18.13
154,Algeria,28.0339,1.6596,Potatoes,2001,14701.8,89,710.11,18.13
156,Algeria,28.0339,1.6596,Sorghum,2001,2775,89,710.11,18.13
157,Algeria,28.0339,1.6596,Wheat,2001,1110.4,89,710.11,18.13
161,Algeria,28.0339,1.6596,Sorghum,2002,3390,89,816.55,17.85
137,Algeria,28.0339,1.6596,Wheat,1997,801.6,89,401.22,17.84
187,Algeria,28.0339,1.6596,Wheat,2008,1103.8,89,11556.12,17.55
118,Algeria,28.0339,1.6596,Wheat,1993,809.7,89,1021.89,17
146,Algeria,28.0339,1.6596,Sorghum,1999,2700,89,654.45,17.97
147,Algeria,28.0339,1.6596,Wheat,1999,1071.1,89,654.45,17.97
111,Algeria,28.0339,1.6596,"Rice, paddy",1992,2473.3,89,1215.47,16.27
148,Algeria,28.0339,1.6596,Maize,2000,3618.6,89,603.67,17.9
123,Algeria,28.0339,1.6596,Maize,1995,1611.5,89,2697.09,17.36
124,Algeria,28.0339,1.6596,Potatoes,1995,13676.8,89,2697.09,17.36
151,Algeria,28.0339,1.6596,Sorghum,2000,6950,89,603.67,17.9
175,Algeria,28.0339,1.6596,"Rice, paddy",2006,1276.9,89,4110.72,18.13
160,Algeria,28.0339,1.6596,"Rice, paddy",2002,1295.9,89,816.55,17.85
164,Algeria,28.0339,1.6596,Potatoes,2004,20358.5,89,3747.86,17.38
194,Algeria,28.0339,1.6596,Potatoes,2010,27052.6,89,1295.88,17.59
181,Algeria,28.0339,1.6596,Sorghum,2007,11905.9,89,5390.79,17.42
212,Algeria,28.0339,1.6596,Wheat,2013,1910,89,17278.65,17.65
144,Algeria,28.0339,1.6596,Potatoes,1999,15353.2,89,654.45,17.97
168,Algeria,28.0339,1.6596,Maize,2005,3386.4,89,3662.87,17.19
169,Algeria,28.0339,1.6596,Potatoes,2005,21626.7,89,3662.87,17.19
139,Algeria,28.0339,1.6596,Potatoes,1998,16025.6,89,322.84,17.14
171,Algeria,28.0339,1.6596,Sorghum,2005,3348.6,89,3662.87,17.19
203,Algeria,28.0339,1.6596,Maize,2012,2558.3,89,17379.76,17.91
204,Algeria,28.0339,1.6596,Potatoes,2012,30429.1,89,17379.76,17.91
205,Algeria,28.0339,1.6596,"Rice, paddy",2012,1666.7,89,17379.76,17.91
163,Algeria,28.0339,1.6596,Maize,2004,3172.9,89,3747.86,17.38
136,Algeria,28.0339,1.6596,Sorghum,1997,4000,89,401.22,17.84
127,Algeria,28.0339,1.6596,Wheat,1995,892.4,89,2697.09,17.36
185,Algeria,28.0339,1.6596,"Rice, paddy",2008,1395.2,89,11556.12,17.55
117,Algeria,28.0339,1.6596,Sorghum,1993,5000,89,1021.89,17
143,Algeria,28.0339,1.6596,Maize,1999,2237.5,89,654.45,17.97
142,Algeria,28.0339,1.6596,Wheat,1998,884.7,89,322.84,17.14
172,Algeria,28.0339,1.6596,Wheat,2005,1505.7,89,3662.87,17.19
107,Algeria,28.0339,1.6596,Sorghum,1991,2423.1,89,2461.8,16.26
108,Algeria,28.0339,1.6596,Wheat,1991,1080.9,89,2461.8,16.26
113,Algeria,28.0339,1.6596,Wheat,1992,993.9,89,1215.47,16.27
184,Algeria,28.0339,1.6596,Potatoes,2008,23639.3,89,11556.12,17.55
158,Algeria,28.0339,1.6596,Maize,2002,3348,89,816.55,17.85
183,Algeria,28.0339,1.6596,Maize,2008,4471.4,89,11556.12,17.55
193,Algeria,28.0339,1.6596,Maize,2010,2582.7,89,1295.88,17.59
126,Algeria,28.0339,1.6596,Sorghum,1995,1266.7,89,2697.09,17.36
116,Algeria,28.0339,1.6596,"Rice, paddy",1993,2311.1,89,1021.89,17
211,Algeria,28.0339,1.6596,Sorghum,2013,6000,89,17278.65,17.65
180,Algeria,28.0339,1.6596,"Rice, paddy",2007,1337.5,89,5390.79,17.42
141,Algeria,28.0339,1.6596,Sorghum,1998,2450,89,322.84,17.14
115,Algeria,28.0339,1.6596,Potatoes,1993,11121.5,89,1021.89,17
125,Algeria,28.0339,1.6596,"Rice, paddy",1995,1959.8,89,2697.09,17.36
170,Algeria,28.0339,1.6596,"Rice, paddy",2005,1299.8,89,3662.87,17.19
207,Algeria,28.0339,1.6596,Wheat,2012,1763.9,89,17379.76,17.91
206,Algeria,28.0339,1.6596,Sorghum,2012,20600,89,17379.76,17.91
210,Algeria,28.0339,1.6596,"Rice, paddy",2013,1777.8,89,17278.65,17.65
99,Algeria,28.0339,1.6596,Maize,1990,1650,89,1828.92,17.48
140,Algeria,28.0339,1.6596,"Rice, paddy",1998,1500,89,322.84,17.14
159,Algeria,28.0339,1.6596,Potatoes,2002,18377.4,89,816.55,17.85
179,Algeria,28.0339,1.6596,Potatoes,2007,18992.7,89,5390.79,17.42
178,Algeria,28.0339,1.6596,Maize,2007,8562.5,89,5390.79,17.42
339,Angola,-11.2027,17.8739,Potatoes,2009,8650.9,1010,40,24.33
338,Angola,-11.2027,17.8739,Maize,2009,661.4,1010,40,24.33
292,Angola,-11.2027,17.8739,"Rice, paddy",2002,1319.8,1010,40,24.79
340,Angola,-11.2027,17.8739,"Rice, paddy",2009,602.8,1010,40,24.33
326,Angola,-11.2027,17.8739,Soybeans,2007,688.3,1010,40,24.24
225,Angola,-11.2027,17.8739,Cassava,1992,4229.5,1010,23,23.96
278,Angola,-11.2027,17.8739,Soybeans,2000,233.3,1010,40,24.41
279,Angola,-11.2027,17.8739,Sweet potatoes,2000,3493.8,1010,40,24.41
341,Angola,-11.2027,17.8739,Sorghum,2009,248,1010,40,24.33
291,Angola,-11.2027,17.8739,Potatoes,2002,4275.4,1010,40,24.79
327,Angola,-11.2027,17.8739,Sweet potatoes,2007,5885.5,1010,40,24.24
343,Angola,-11.2027,17.8739,Sweet potatoes,2009,6647.5,1010,40,24.33
344,Angola,-11.2027,17.8739,Wheat,2009,1000,1010,40,24.33
250,Angola,-11.2027,17.8739,Maize,1996,699.3,1010,40,24.11
215,Angola,-11.2027,17.8739,Potatoes,1990,4000,1010,64,24.12
285,Angola,-11.2027,17.8739,Sorghum,2001,357.1,1010,40,24.43
286,Angola,-11.2027,17.8739,Soybeans,2001,250,1010,40,24.43
316,Angola,-11.2027,17.8739,"Rice, paddy",2006,494.7,1010,40,24.14
277,Angola,-11.2027,17.8739,Sorghum,2000,333.3,1010,40,24.41
342,Angola,-11.2027,17.8739,Soybeans,2009,444.9,1010,40,24.33
334,Angola,-11.2027,17.8739,Soybeans,2008,857.5,1010,40,24.27
249,Angola,-11.2027,17.8739,Cassava,1996,4807.7,1010,40,24.11
353,Angola,-11.2027,17.8739,Cassava,2011,13364.9,1010,40,24.15
275,Angola,-11.2027,17.8739,Potatoes,2000,2988.5,1010,40,24.41
216,Angola,-11.2027,17.8739,"Rice, paddy",1990,951.2,1010,64,24.12
335,Angola,-11.2027,17.8739,Sweet potatoes,2008,6543.7,1010,40,24.27
284,Angola,-11.2027,17.8739,"Rice, paddy",2001,1370.1,1010,40,24.43
329,Angola,-11.2027,17.8739,Cassava,2008,14808.4,1010,40,24.27
232,Angola,-11.2027,17.8739,Maize,1993,262.7,1010,169,24.15
236,Angola,-11.2027,17.8739,Wheat,1993,887.6,1010,169,24.15
346,Angola,-11.2027,17.8739,Maize,2010,720,1010,40,24.44
293,Angola,-11.2027,17.8739,Sorghum,2002,340,1010,40,24.79
294,Angola,-11.2027,17.8739,Soybeans,2002,285.7,1010,40,24.79
295,Angola,-11.2027,17.8739,Sweet potatoes,2002,4219,1010,40,24.79
328,Angola,-11.2027,17.8739,Wheat,2007,1000,1010,40,24.24
272,Angola,-11.2027,17.8739,Wheat,1999,1739.1,1010,40,24.37
273,Angola,-11.2027,17.8739,Cassava,2000,8299.2,1010,40,24.41
214,Angola,-11.2027,17.8739,Maize,1990,273.6,1010,64,24.12
337,Angola,-11.2027,17.8739,Cassava,2009,15175.9,1010,40,24.33
276,Angola,-11.2027,17.8739,"Rice, paddy",2000,1345.4,1010,40,24.41
290,Angola,-11.2027,17.8739,Maize,2002,670.6,1010,40,24.79
297,Angola,-11.2027,17.8739,Cassava,2004,12560.5,1010,40,24.22
298,Angola,-11.2027,17.8739,Maize,2004,540.4,1010,40,24.22
299,Angola,-11.2027,17.8739,Potatoes,2004,2015,1010,40,24.22
300,Angola,-11.2027,17.8739,"Rice, paddy",2004,1158.4,1010,40,24.22
217,Angola,-11.2027,17.8739,Sweet potatoes,1990,8934.2,1010,64,24.12
251,Angola,-11.2027,17.8739,Potatoes,1996,7000,1010,40,24.11
252,Angola,-11.2027,17.8739,"Rice, paddy",1996,1750,1010,40,24.11
253,Angola,-11.2027,17.8739,Sweet potatoes,1996,8545.5,1010,40,24.11
254,Angola,-11.2027,17.8739,Wheat,1996,1373.8,1010,40,24.11
313,Angola,-11.2027,17.8739,Cassava,2006,11720.1,1010,40,24.14
315,Angola,-11.2027,17.8739,Potatoes,2006,5214.8,1010,40,24.14
282,Angola,-11.2027,17.8739,Maize,2001,575.4,1010,40,24.43
213,Angola,-11.2027,17.8739,Cassava,1990,4117.7,1010,64,24.12
370,Angola,-11.2027,17.8739,Maize,2013,946.7,1010,40,24.55
330,Angola,-11.2027,17.8739,Maize,2008,794.6,1010,40,24.27
331,Angola,-11.2027,17.8739,Potatoes,2008,8508.5,1010,40,24.27
332,Angola,-11.2027,17.8739,"Rice, paddy",2008,508.4,1010,40,24.27
287,Angola,-11.2027,17.8739,Sweet potatoes,2001,4445.8,1010,40,24.43
288,Angola,-11.2027,17.8739,Wheat,2001,1666.7,1010,40,24.43
376,Angola,-11.2027,17.8739,Wheat,2013,902.2,1010,40,24.55
306,Angola,-11.2027,17.8739,Maize,2005,673.6,1010,40,24.41
336,Angola,-11.2027,17.8739,Wheat,2008,1000,1010,40,24.27
274,Angola,-11.2027,17.8739,Maize,2000,574.5,1010,40,24.41
283,Angola,-11.2027,17.8739,Potatoes,2001,4255.2,1010,40,24.43
244,Angola,-11.2027,17.8739,Maize,1995,351.7,1010,336,24.56
369,Angola,-11.2027,17.8739,Cassava,2013,14051.7,1010,40,24.55
312,Angola,-11.2027,17.8739,Wheat,2005,1094.6,1010,40,24.41
321,Angola,-11.2027,17.8739,Cassava,2007,11538.7,1010,40,24.24
322,Angola,-11.2027,17.8739,Maize,2007,509.1,1010,40,24.24
323,Angola,-11.2027,17.8739,Potatoes,2007,6213.8,1010,40,24.24
