index,BVDV_result,IgG_Status,Species,abdomen_pingsounds,abdomenauscultation_notes,age_units,age_weeks,age,anaplasma_centrale_result,anaplasma_marginale_result,attitude,babesia_bigemina_result,babesia_bovis_result,bedding,bedding_dryandclean,birth_witness,birthlocation,breed_name,breed,calf_bcs,calfgrouphousing_enoughspace,calfhousedwithdam,calfhousewithotherlivestock,coccidia_result,coccidia_species_result,colostrumwithin24hours,continuousaccesstodamfirst24hours,corona_result,cough_score,coughing,crackles,crypto_result,dam_ageparturition_years,dam_alive,dam_bcs1to5,dam_deathwithin2weeksparturition,dam_milkyield_liters,dam_motheringinstinct,dam_vaccines2monthsbeforedelivery,dam_vaccines_type,district,ear_score,ecoli_result,eye_score,fecal_score_Y1Y2,feces_blood,feedingfrequency,feedmilkormilkreplacer,feedmilkormilkreplacer_liters,generalnotes,heart_abnormalsounds,heart_rate_perminute,housingseparatefromherd,increased_respiratoryeffort,jointsexam,jointsexam_notes,kebele,lungsounds_muffled,m_hemolytica_result,medicationsincebirth,medicationsincebirth_dewormer,medicationsincebirth_oralelectrolytes,medicationsincebirth_other,medicationsincebirth_vitamins,nasaldischarge_score,navel,naveldesinfection,navelexam_notes,p_multocida_result,parasitology_other_result,parity,peristalticsounds_increased,proceduredone_branding,proceduredone_castration,proceduredone_dehorning,proceduredone_earnotch,proceduredone_taildocking,prod_system,reasonnocolostrumfedwithin24hours,rectal_temp,rectal_temp_score,respiratory_rate_perminute,result_ADV,result_BRSV,result_IBR,result_IgG,result_IgG_concentration,result_PIV3,result_RID,result_ascaris,result_fasciola,result_monezia,result_paramphistom,result_salmonella_enterica,result_schistosoma,result_strongly,result_trichuris,rota_result,ruminalcontractions_perminute,sex,signsofillness_birthdefects,signsofillness_bleedingorifices,signsofillness_bloat,signsofillness_circling,signsofillness_cloudyeyes,signsofillness_collapse,signsofillness_cough,signsofillness_diarrhea_notbloody,signsofillness_difficulturination,signsofillness_difficultybreathing,signsofillness_headtilt,signsofillness_lameness,signsofillness_nasaldischarge,signsofillness_navelinfection,signsofillness_notsuckling,signsofillness_oculardischarge,signsofillness_other,signsofillness_predation,signsofillness_sincebirth,signsofillness_straindefecate,signsofillness_swollenjoints,signsofillness_trauma,sire,supplementalfeed,supplementalfeed_frequency,test_kit,thoracicauscultation_notes,timeofbirth,typedelivery,typeofvaccinesreceived,vaccinationssincebirth,watergiven,watergiven_frequency,watergiven_independentwatertrough,weaned,weaned_accesstowater_hours_rainyseason,weaned_agemonths,weaned_concentratefed_dryseason,weaned_concentratefed_rainyseason,weaned_grazinghours_dryseason,weaned_grazinghours_rainyseason,weaned_hay_dryseason,weaned_hay_rainyseason,wheezes,year
0,,,,,,months,16,4,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,0,7,yes,3,no,20,good,yes,anthrax vaccine,Gondar,0,0,0,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,,96,yes,0,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,0,,3,,yes,no,no,no,no,Peri-urban,,39.1,2,28,1,0,1,,,1,,,,,,,,,,0,,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,night,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
1,0,,,,,months,20,5,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,1,9,yes,3,no,15,good,yes,anthrax vaccine,Gondar,0,1,0,0,no,Twice/day,yes milk,half to 1 liter,NORMAL,,104,yes,0,normal,Normal,,,1,yes,yes,no,NR,no,0,normal,no,,0,,3,,yes,no,no,no,no,Peri-urban,,38.4,1,28,,,0,,,,,,,,,,,,,0,,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,day,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
2,0,,,,,days,1,8,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,0,4,yes,4,no,23,good,yes,anthrax vaccine,Gondar,0,0,0,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,,96,yes,0,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,1,,2,,yes,no,no,no,no,Peri-urban,,38.9,2,24,,,0,,,,,,,,,,,,,0,,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,day,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
3,,,,,,months,4,1,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,1,yes,,0,10,yes,4,no,10,good,yes,anthrax vaccine,Gondar,0,0,0,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,,84,yes,0,normal,Normal,,,0,no,no,no,NR,no,1,normal,no,,1,,4,,yes,no,no,no,no,Peri-urban,,38.7,1,24,1,1,1,,,1,,,,,,,,,,0,,Male,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,NR,no,yes,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,day,assisted/dystocia,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
4,,,,,,weeks,3,3,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,0,8,yes,3,no,12,good,yes,anthrax vaccine,Gondar,0,0,0,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,,88,yes,0,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,0,,3,,yes,no,no,no,no,Peri-urban,,39.1,2,32,,,1,,,,,,,,,,,,,0,,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,day,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
5,0,,,,,days,0.5,3,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,1,yes,,0,5,yes,4,no,15,good,yes,anthrax vaccine,Gondar,0,0,0,2,yes,Twice/day,yes milk,half to 1 liter,NORMAL,,100,yes,0,normal,Normal,,,1,no,no,no,NR,no,0,normal,no,,0,,1,,yes,no,no,no,no,Peri-urban,,38.9,2,36,1,0,0,,,1,,,,,,,,,,0,,Female,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,NR,no,yes,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,night,assisted/dystocia,,no,yes,once a day,yes,no,2 times per day,,,,,,,,no,1
6,,,,,,months,16,4,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,0,9,yes,3,no,20,good,yes,anthrax vaccine,Gondar,0,0,0,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,,80,yes,0,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,0,,4,,yes,no,no,no,no,Peri-urban,,38.6,1,32,,,0,,,,,,,,,,,,,0,,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,night,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
7,0,,,,,weeks,2,2,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,0,8,yes,4,no,25,good,yes,anthrax vaccine,Gondar,0,0,0,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,,104,yes,1,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,0,,3,,yes,no,no,no,no,Peri-urban,,38,0,36,1,0,0,,,1,,,,,,,,,,0,,Female,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,NR,no,yes,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,day,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
8,0,,,,,months,4,1,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,1,yes,,0,6,yes,3,no,10,good,yes,anthrax vaccine,Gondar,0,0,1,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,,102,yes,0,normal,Normal,,,0,no,no,no,NR,no,0,normal,no,,1,,3,,yes,no,no,no,no,Peri-urban,,37.8,0,32,1,0,0,,,1,,,,,,,,,,0,,Female,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,NR,no,yes,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,night,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
9,0,,,,,months,20,5,0,0,Bright/Alert,0,0,yes,yes,yes,In barn,Holstein,Improved/Crossbred,,yes,no,yes,,,yes,no,0,0,no,,1,7,yes,3,no,20,good,yes,anthrax vaccine,Gondar,0,0,0,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,,72,yes,0,normal,Normal,,,1,no,no,no,NR,no,1,normal,no,,0,,2,,yes,no,no,no,no,Peri-urban,,38.5,1,24,0,0,0,,,1,,,,,,,,,,0,,Male,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,NR,no,yes,no,no,no,Artificial Insemination,yes,twice a day,,Normal respiratory sound and heart beat,night,normal,,no,yes,twice a day,yes,no,2 times per day,,,,,,,,no,1
