number,source,year,fert_type,ISO,Town,ppp_price_kg,rel_price,longitude,latitude,acc50,acc100,acc250,distPort,popD,ral_pop,prec,crop_ha,nat_avg
216212,Afr,2010,Urea,TZA,Dar es Salaam,1.42,0.94,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,1.51
216322,Afr,2010,Urea,TZA,Iringa Rural,1.48,0.98,35.5657862,-7.7887442,2.400000095,2.400000095,8.100000381,15.30000019,29,0,1180,0.040725142,1.51
216421,Afr,2010,Urea,TZA,Morogoro,1.56,1.03,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1.51
216521,Afr,2010,Urea,TZA,Musoma,1.68,1.11,33.800019,-1.500152,0.400000006,0.400000006,4.599999905,23.60000038,680,48,1540,0.99859,1.51
216611,Afr,2010,Urea,TZA,Tarakea Rombo,1.34,0.89,37.565349,-3.002242,6.699999809,6.699999809,11.60000038,15.69999981,154,192,777,0.361105316,1.51
21668,Afr,2010,Urea,TZA,Arusha,1.54,1.02,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,1.51
216801,Afr,2010,Urea,TZA,Moshi Rural,1.38,0.91,37.470878,-3.392578,0.899999976,0.899999976,7,8.399999619,135,293,825,0.393097588,1.51
21695,Afr,2010,Urea,TZA,Chimala,1.3,0.86,34.025154,-8.856616,3.5,3.5,3.5,17.29999924,115,27,1324,0.044958394,1.51
21710,Afr,2010,Urea,TZA,Bunda,2.04,1.35,33.874593,-2.01862,2.200000048,2.200000048,3.799999952,23.89999962,752,91,1408,0.604245783,1.51
217131,Afr,2010,Urea,TZA,Mbozi,1.56,1.03,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,1.51
219512,Afr,2011,Urea,TZA,Dar es Salaam,1.86,1.08,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,1.72
219622,Afr,2011,Urea,TZA,Iringa Rural,1.54,0.9,35.5657862,-7.7887442,2.400000095,2.400000095,8.100000381,15.30000019,29,0,1180,0.040725142,1.72
219721,Afr,2011,Urea,TZA,Morogoro,1.64,0.95,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1.72
219821,Afr,2011,Urea,TZA,Musoma,2.12,1.23,33.800019,-1.500152,0.400000006,0.400000006,4.599999905,23.60000038,680,48,1540,0.99859,1.72
219911,Afr,2011,Urea,TZA,Tarakea Rombo,1.88,1.09,37.565349,-3.002242,6.699999809,6.699999809,11.60000038,15.69999981,154,192,777,0.361105316,1.72
21998,Afr,2011,Urea,TZA,Arusha,1.88,1.09,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,1.72
22010,Afr,2011,Urea,TZA,Moshi Rural,1.46,0.85,37.470878,-3.392578,0.899999976,0.899999976,7,8.399999619,135,293,825,0.393097588,1.72
22025,Afr,2011,Urea,TZA,Chimala,2.1,1.22,34.025154,-8.856616,3.5,3.5,3.5,17.29999924,115,27,1324,0.044958394,1.72
22040,Afr,2011,Urea,TZA,Bunda,2.24,1.3,33.874593,-2.01862,2.200000048,2.200000048,3.799999952,23.89999962,752,91,1408,0.604245783,1.72
