"start_time" "end_time" "survey_date" "survey_time" "consent" "region" "country" "county" "subcounty" "ward" "slum" "cu" "location_type" "vendor_type" "gender" "grains" "roots_tubers" "grain_roots_tubers" "dark_green_veg" "other_veg" "vit_a_rich_veg" "vita_rich_fruits" "other_vita_frt_veg" "other_fruits" "organ_meat" "flesh_meat" "fish" "meat_poultry_fish" "egg" "legumes_pulses" "nuts_seeds" "dairy" "oils_fats" "snacks" "beverages" "spice_condiment" "mixed_foods" "grains_maize_green" "grains_dry_maize" "grains_maize_flour" "grains_ugali" "grains_rice" "grains_wheat_flour" "grains_chapati" "grains_mandazi" "grains_scones" "grains_bread" "grains_noodle" "grains_millet" "grains_millet_flour" "grains_millet_porridge" "grains_sorghum" "grains_sorghum_flour" "grains_spaghetti" "grains_barley" "grains_oats" "other_grains" "os_other_grains" "grains_comment" "vit_a_veg_pumpkin" "vit_a_veg_carrot" "vit_a_veg_squash" "vit_a_veg_orange_fl_swt_potato" "vit_a_veg_red_swt_pepper" "vit_a_veg_butternut" "other_vit_a_rich_veg" "os_other_vit_a_rich_veg" "vit_a_rich_veg_comment" "roots_tubers_irish_potato" "roots_tubers_swt_potato" "roots_tubers_arrow_root" "roots_tubers_cassava" "roots_tubers_yam" "roots_tubers_plantain" "roots_tubers_chips" "other_roots_tubers" "os_other_roots_tubers" "roots_tubers_comment" "dgv_kale" "dgv_spinach" "dgv_amaranthus" "dgv_nightshade" "dgv_jute_mallow" "dgv_cowpea_leaves" "dgv_crotalaria" "dgv_pumpkin_leaves" "dgv_african_kales" "dgv_african_spinach" "dgv_atipa" "dgv_cassava_leaves" "dgv_lettuce" "dgv_bean_leaves" "dgv_swt_potato_leaves" "dgv_nakati" "dgv_bitter_leaf" "dgv_arrowroot_leaves" "dgv_spider_plant" "dgv_stinging_nettles" "dgv_broccoli" "other_dgv" "os_other_dgv" "dgv_comment" "otherveg_tomato" "otherveg_onion" "otherveg_eggplant" "otherveg_capsicum" "otherveg_cabbage" "otherveg_beetroot" "otherveg_okra" "otherveg_celery" "otherveg_cucumber" "otherveg_mushroom" "otherveg_zucchini" "otherveg_cauliflower" "otherveg_asparagus" "otherveg_artichoke" "otherveg_frenchbeans" "otherveg_greenbeans" "other_otherveg" "os_other_otherveg" "otherveg_comment" "vita_rich_frts_mango" "vita_rich_frts_cantaloupe" "vita_rich_frts_apricot" "vita_rich_frts_papaya" "vita_rich_frts_peach" "vita_rich_frts_treetomato" "vita_rich_frts_passionfrt" "other_vita_rich_frts" "os_other_vita_rich_frts" "vita_rich_frts_comment" "otherfrt_avocado" "otherfrt_ripebanana" "otherfrt_guava" "otherfrt_orange" "otherfrt_watermelon" "otherfrt_pineapple" "otherfrt_plums" "otherfrt_apple" "otherfrt_wildberries" "otherfrt_lemon" "otherfrt_lime" "otherfrt_tangerine" "otherfrt_jackfruits" "otherfrt_pear" "otherfrt_kiwi" "otherfrt_tamarind" "otherfrt_loquat" "otherfrt_javaplum" "otherfrt_grapes" "other_otherfrt" "os_other_otherfrt" "otherfrt_comment" "organ_meats_liver" "organ_meats_kidney" "organ_meats_heart" "organ_meats_intestine" "organ_meats_gizzard" "organ_meats_lung" "organ_meats_blood" "other_organ_meats" "os_other_organ_meats" "organ_meats_comment" "flesh_meats_beef" "flesh_meats_pork" "flesh_meats_lamb" "flesh_meats_goat" "flesh_meats_rabbit" "flesh_meats_chicken" "flesh_meats_duck" "flesh_meats_game" "flesh_meats_insect" "flesh_meats_turkey" "flesh_meats_guineafowl" "flesh_meats_quail" "other_flesh_meats" "os_other_flesh_meats" "flesh_meats_comment" "eggs_chicken" "eggs_duck" "eggs_guineahen" "eggs_quail" "other_eggs" "eggs_comment" "fish_tilapia" "fish_nile_perch" "fish_omena" "fish_catfish" "fish_squeaker" "fish_lungfish" "fish_mouthbrooder" "fish_stonebasher" "fish_riponfalls" "fish_victorialabeo" "fish_labyrinth" "fish_sadlerrobber" "fish_blacknile" "fish_shellfish" "fish_okoko" "other_fish" "os_other_fish" "fish_comment" "legumes_beans" "legumes_peas" "legumes_lentils" "legumes_dolichos" "legumes_soybean" "legumes_pigeonpeas" "legumes_mungbeans" "legumes_chickpeas" "legumes_cowpea" "other_legumes" "os_other_legumes" "legumes_comment" "nuts_seeds_groundnut" "nuts_seeds_peanut" "nuts_seeds_baobab" "nuts_seeds_sunflower" "nuts_seeds_pumpkin" "nuts_seeds_coconut" "nuts_seeds_almonds" "nuts_seeds_cashew" "nuts_seeds_sesame" "nuts_seeds_macadamia" "other_nuts_seeds" "os_other_nuts_seeds" "nuts_seeds_comments" "dairy_milk" "dairy_cheese" "dairy_yoghurt" "dairy_ghee" "dairy_cream" "dairy_fermmilk" "other_dairy" "os_other_dairy" "dairy_comment" "oils_fats_cookingoil" "oils_fats_cookingfat" "oils_fats_coconut" "oils_fats_palm" "oils_fats_lard" "oils_fats_margarine" "oils_fats_butter" "other_oils_fats" "os_other_oils_fats" "oils_fats_comment" "snacks_sugar" "snacks_sugarcane" "snacks_honey" "snacks_cakes" "snacks_chocolate" "snacks_candy" "snacks_cookies" "snacks_jaggary" "other_snacks" "os_other_snacks" "snacks_comment" "beverage_soda_juice" "beverage_energydrink" "beverage_alcoholic" "beverage_coffee" "beverage_tea" "condiments_coconutwater" "condiments_soysauce" "condiments_hotsauce" "condiments_chilitomatosauce" "condiments_salt" "condiments_blackpepper" "condiments_garlic" "condiments_ginger" "condiments_oregano" "condiments_mint" "condiments_parsley" "condiments_vinegar" "condiments_rosemary" "condiments_thyme" "condiments_cardamom" "condiments_cinnamon" "condiments_cumin" "condiments_masala" "condiments_coriander" "condiments_paprika" "other_bev_condiments" "os_other_condiments" "condiments_comment" "mixedfood_githeri" "mixedfood_mokimo" "mixedfood_fruitsalad" "mixedfood_vegetablesalad" "mixedfood_frtjuice" "mixedfood_samosa" "other_mixedfood" "os_other_mixedfood" "mixedfood_comment" "indepth_interview_participatn" "photo_consent" "image1_url" "image2_url" "image3_url" "latitude" "longitude" "altitude" "precision" "vendor_fg_diversity" "unhealthy_food_count" "no_unique_oth_frts_color" "no_unique_oth_veg_color" "no_unique_vita_veg_frt_color" "dark_green_color" "green_other_color" "purple_blue_color" "red_color" "white_brown_color" "yellow_orange_color" "overall_color" "id" "uuid" "submission_time" "index"
"1" 52:46:00 08:38:00 "2/22/2022" "09:53:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Stalls/Tabletop" "Female" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Good chapati but not tasted" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0 1 "Cooked green grams" "Boiled and fried to be served with chapati" 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F6cd05c89-bce7-4d3e-a5b3-b613469baf61%2F1645513419942.jpg" NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 143035975 "6cd05c89-bce7-4d3e-a5b3-b613469baf61" "2/22/2022 14:06" 1
"2" 08:43:00 18:58:00 "2/22/2022" "10:09:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Kiosk" "Multiple females" 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 NA "Stored and displayed well" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 "Layer eggs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 NA "Packed groundnuts" 1 0 0 0 0 0 0 NA "Both long and fresh milk" 1 0 0 0 0 1 0 0 NA "Cooking oil is being measured in litre and also packed available" 1 0 0 0 0 0 0 0 0 NA "Packed and weighed sugar in packaging materias" 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "There are all  processed and packed" NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F9ceeab82-a15e-4938-935d-149d1476cea4%2F1645514293822.jpg" NA NA NA NA NA NA 4 3 0 0 0 0 0 0 0 0 0 0 143035979 "9ceeab82-a15e-4938-935d-149d1476cea4" "2/22/2022 14:06" 2
"3" 30:04:00 27:52:00 "2/22/2022" "10:30:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Stalls/Tabletop" "Multiple females" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Prepared chapati and ugali" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0 1 "Cooked fish; meat and traditional vegetables" "Mixed foods served with ugali" 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F0905a4d8-8004-4317-84e6-8f8fdc7f14cf%2F1645515481751.jpg" NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 143035981 "0905a4d8-8004-4317-84e6-8f8fdc7f14cf" "2/22/2022 14:06" 3
"4" 47:24:00 29:48:00 "2/22/2022" "10:47:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Stalls/Tabletop" "Female" 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 NA "Carrots are fresh" 1 0 0 0 0 0 0 0 NA "Sourced from outside the county" 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 NA "Very fresh" 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "Vegetables are fresh" 1 0 0 0 0 0 0 0 NA "Very fresh" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Fruits are fairly fresh" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 "Layers eggs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F425d2383-0909-4573-ae5a-011b8153d9c5%2F1645516732168.jpg" NA NA NA NA NA NA 6 0 1 3 1 1 1 0 1 1 1 5 143035987 "425d2383-0909-4573-ae5a-011b8153d9c5" "2/22/2022 14:06" 4
"5" 03:59:00 10:24:00 "2/22/2022" "11:04:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Kiosk" "Multiple females" 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 NA "Cereals stored well" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 "Layers eggs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 NA "Packed and cooked groundnuts" 1 0 0 0 0 0 0 NA "Long life and fresh milk" 1 0 0 0 0 1 0 0 NA "Stored well" 1 0 0 0 0 0 1 0 0 NA "Packed sweets and sold in pieces" 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Stored well in the shelf" NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F5ec422b4-26be-44a4-802e-70867bf4ec88%2F1645517385857.jpg" NA NA NA NA NA NA 4 4 0 0 0 0 0 0 0 0 0 0 143035993 "5ec422b4-26be-44a4-802e-70867bf4ec88" "2/22/2022 14:06" 5
"6" 41:52:00 31:26:00 "2/22/2022" "11:42:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 4 "Peri-Urban" "Stalls/Tabletop" "Male" 0 1 1 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0 0 NA "Very fresh" 1 0 0 0 0 0 0 0 NA "Small sized and not good quality" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Very fresh" 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Very fresh" NA NA NA NA NA NA NA NA NA NA 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Looks presentable" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Fresh" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2Fdc6da845-40c5-4422-98ca-7015c68cf470%2F1645519675363.jpg" "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2Fdc6da845-40c5-4422-98ca-7015c68cf470%2F1645519683647.jpg" NA NA NA NA NA 6 0 2 2 1 1 1 1 1 0 1 5 143036003 "dc6da845-40c5-4422-98ca-7015c68cf470" "2/22/2022 14:06" 6
"7" 51:48:00 57:51:00 "2/22/2022" "11:54:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Stalls/Tabletop" "both male and female" 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 0 1 0 0 NA "Very fresh and good storage" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2Fabade5eb-bc48-4ccd-b294-f9f6ccea7f7e%2F1645520238417.jpg" NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 143036016 "abade5eb-bc48-4ccd-b294-f9f6ccea7f7e" "2/22/2022 14:06" 7
"8" 05:47:00 16:40:00 "2/22/2022" "12:05:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Stalls/Tabletop" "Female" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 NA "Well displayed in the shelves" 0 1 0 0 0 0 0 NA "Out of stock" 1 0 0 0 0 1 0 0 NA "Very fresh and on a different stall" 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 NA "Just sourced from the farm for sale" 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "They are fresh and arranged well" 1 0 0 0 0 0 0 0 NA "Fresh" 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 NA "Fruits are fresh" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 NA "Both long life and fresh milk" 1 0 0 0 0 0 0 0 NA "Cooking oil being measured in litre for sale when packed" 1 0 0 0 0 0 1 0 1 "Candy sweets" "Stored well" 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "All are packed and processed for sale and not fresh incase of tea and coffee" NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2Fe4dd13a9-b770-4bec-a6bd-66282b3d4200%2F1645521364651.jpg" "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2Fe4dd13a9-b770-4bec-a6bd-66282b3d4200%2F1645521376870.jpg" NA NA NA NA NA 6 4 2 2 1 1 1 0 1 1 1 5 143036020 "e4dd13a9-b770-4bec-a6bd-66282b3d4200" "2/22/2022 14:06" 8
"9" 19:37:00 31:05:00 "2/22/2022" "12:20:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Kiosk" "Female" 1 0 1 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 NA "Sold in packed containers and displayed well" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 NA "The fruits are ripe for consumption" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "Fruits are fresh" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 "Layers eggs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 0 0 1 0 1 0 1 0 NA "They stored well" 1 0 0 0 0 0 0 0 0 0 0 NA "Fresh groundnuts for sale" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 1 1 "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F8348b334-0eaf-4429-a3d6-af3f6eed662e%2F1645522222137.jpg" "https://kc.kobotoolbox.org/media/original?media_file=ctokeshi%2Fattachments%2Fb5b86bbcd7774547b93ca9f20dcca1bd%2F8348b334-0eaf-4429-a3d6-af3f6eed662e%2F1645522233075.jpg" NA NA NA NA NA 6 0 1 0 1 0 0 0 1 0 1 2 143036030 "8348b334-0eaf-4429-a3d6-af3f6eed662e" "2/22/2022 14:07" 9
"10" 37:49:00 48:48:00 "2/22/2022" "12:37:00.000+03:00" 1 "East Africa" "Kenya" "Kisumu" "Kisumu East" "Manyatta" "Manyatta B" 3 "Peri-Urban" "Kiosk" "Female" 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 NA "Shop well stored" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 "Layers eggs" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 NA "Long and fresh milk" 1 0 0 0 0 0 0 0 NA "Measured in litres" 1 0 0 0 0 0 0 0 0 NA "Packed sugar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA NA NA NA NA NA NA 3 1 0 0 0 0 0 0 0 0 0 0 143036035 "2ef1928f-c403-4a59-bd66-dde5f636bf6d" "2/22/2022 14:07" 10
